Location,Gender,Age,Food_Satisfaction,Entertainment_Satisfaction,Cleanliness_Satisfaction,Amenities_Satisfaction,Staff_Satisfaction,Recommendation,Thinking_of_Moving
Chartwell,Female,90+,2,1,5,1,1,Maybe,Yes
Chartwell,Female,80-89,5,5,2,3,3,Maybe,Yes
Redwoods,Female,90+,5,2,4,1,2,No,No
Chartwell,Female,90+,5,4,2,1,4,Yes,No
Chartwell,Female,80-89,3,2,4,3,1,Maybe,Yes
Revera,Female,90+,5,3,2,2,1,No,No
Chartwell,Male,80-89,5,2,4,3,1,Yes,No
Redwoods,Female,80-89,5,3,3,4,2,Maybe,No
Chartwell,Female,80-89,1,2,1,4,1,Maybe,No
Chartwell,Female,90+,3,3,3,4,5,Maybe,No
Chartwell,Female,90+,2,4,1,5,5,No,No
Chartwell,Female,80-89,1,5,3,2,1,Yes,Maybe
Revera,Male,90+,4,3,3,2,5,Yes,No
Chartwell,Female,80-89,3,3,2,5,4,No,No
Redwoods,Female,90+,3,4,5,1,5,Yes,No
Bridlewood,Male,80-89,4,3,4,4,1,Yes,Yes
Revera,Male,80-89,4,1,4,4,3,Maybe,No
Maplewood,Female,70-79,4,4,4,1,4,Maybe,No
Revera,Female,90+,2,1,1,3,2,No,Maybe
Chartwell,Female,90+,5,4,4,3,1,Maybe,Maybe
Chartwell,Female,80-89,3,3,4,2,2,Maybe,No
Chartwell,Female,70-79,5,1,2,5,3,No,No
Redwoods,Female,90+,5,3,3,2,2,Yes,No
Chartwell,Female,60-69,4,4,4,3,1,Yes,No
Bridlewood,Female,80-89,2,3,5,1,1,Yes,No
Redwoods,Female,90+,1,1,4,2,3,Yes,No
Chartwell,Male,80-89,2,1,1,4,1,Yes,No
Revera,Female,80-89,5,3,1,4,3,Yes,Yes
Chartwell,Female,80-89,2,2,1,1,3,No,Maybe
Chartwell,Female,90+,4,4,4,3,1,Maybe,Yes
Revera,Male,80-89,1,4,2,4,5,Yes,Maybe
Bridlewood,Male,90+,4,3,5,4,3,Maybe,Maybe
Revera,Female,70-79,1,2,4,5,1,No,No
Chartwell,Female,80-89,5,1,2,2,5,Yes,No
Chartwell,Female,80-89,1,5,2,3,3,Maybe,No
Revera,Female,90+,1,5,4,2,5,No,No
Revera,Female,80-89,1,3,4,3,4,Yes,No
Revera,Male,90+,2,2,2,4,4,Maybe,No
Chartwell,Female,80-89,2,2,2,5,5,Yes,No
Redwoods,Male,80-89,5,4,2,2,3,No,No
Chartwell,Female,70-79,1,1,4,4,1,Yes,No
Chartwell,Female,90+,3,2,2,3,2,Maybe,No
Maplewood,Female,70-79,5,5,1,2,1,No,No
Chartwell,Male,80-89,1,1,4,2,2,No,Yes
Maplewood,Male,80-89,1,1,1,4,2,Yes,Yes
Chartwell,Female,90+,2,3,3,2,3,No,No
Chartwell,Male,2,3,4,3,3,No,Maybe
Bridlewood,Male,,2,3,4,5,1,No,Maybe
